epoch;false_negatives_50;false_positives_50;loss;precision_50;true_negatives_50;true_positives_50
55;158.0;16.0;0.4568202495574951;0.9582245349884033;503.0;367.0
56;155.0;16.0;0.4532112777233124;0.9585492014884949;503.0;370.0
57;153.0;17.0;0.4494457244873047;0.9562981724739075;502.0;372.0
58;145.0;17.0;0.44590166211128235;0.9571788311004639;502.0;380.0
59;139.0;17.0;0.442245751619339;0.9578163623809814;502.0;386.0
60;141.0;17.0;0.43900516629219055;0.9576059579849243;502.0;384.0
61;141.0;17.0;0.4352515935897827;0.9576059579849243;502.0;384.0
62;139.0;17.0;0.43200114369392395;0.9578163623809814;502.0;386.0
63;139.0;17.0;0.42854878306388855;0.9578163623809814;502.0;386.0
64;138.0;17.0;0.42526113986968994;0.9579207897186279;502.0;387.0
65;136.0;17.0;0.4219572842121124;0.9581280946731567;502.0;389.0
66;137.0;17.0;0.4187709391117096;0.9580246806144714;502.0;388.0
67;134.0;17.0;0.4154624938964844;0.9583333134651184;502.0;391.0
68;136.0;17.0;0.41231516003608704;0.9581280946731567;502.0;389.0
69;131.0;17.0;0.4092984199523926;0.9586374759674072;502.0;394.0
70;132.0;17.0;0.40650293231010437;0.9585365653038025;502.0;393.0
71;119.0;19.0;0.40351220965385437;0.955294132232666;500.0;406.0
72;125.0;17.0;0.4005531072616577;0.9592326283454895;502.0;400.0
73;118.0;19.0;0.39755716919898987;0.9553990364074707;500.0;407.0
74;119.0;19.0;0.39490899443626404;0.955294132232666;500.0;406.0
75;118.0;19.0;0.39204415678977966;0.9553990364074707;500.0;407.0
76;118.0;19.0;0.3893336355686188;0.9553990364074707;500.0;407.0
77;116.0;19.0;0.38675668835639954;0.9556074738502502;500.0;409.0
78;114.0;19.0;0.38411492109298706;0.9558139443397522;500.0;411.0
79;115.0;19.0;0.3814738392829895;0.9557109475135803;500.0;410.0
80;115.0;19.0;0.37911713123321533;0.9557109475135803;500.0;410.0
81;105.0;19.0;0.3766351342201233;0.9567198157310486;500.0;420.0
82;112.0;19.0;0.37416714429855347;0.9560185074806213;500.0;413.0
83;107.0;20.0;0.37213483452796936;0.9543378949165344;499.0;418.0
84;110.0;19.0;0.36956003308296204;0.9562212228775024;500.0;415.0
85;105.0;19.0;0.36714160442352295;0.9567198157310486;500.0;420.0
86;107.0;19.0;0.3652232885360718;0.95652174949646;500.0;418.0
87;107.0;19.0;0.3628678619861603;0.95652174949646;500.0;418.0
